requirement_id,text,categories,article,source_document,status,evidence,best_policy_match,similarity_score
REQ-0018,"4. Where the processing for a purpose other than that for which the personal data have been collected is not based on the data subject's consent or on a Union or Member State law which constitutes a necessary and proportionate measure in a democratic society to safeguard the objectives referred to in Article 23(1), the controller shall, in order to ascertain whether processing for another purpose is compatible with the purpose for which the personal data are initially collected, take into account, inter alia: (a) any link between the purposes for which the personal data have been collected and the purposes of the intended further processing; (b) the context in which the personal data have been collected, in particular regarding the relationship between data subjects and the controller; (c) the nature of the personal data, in particular whether special categories of personal data are processed, pursuant to Article 9, or whether personal data related to criminal convictions and offences are processed, pursuant to Article 10; (d) the possible consequences of the intended further processing for data subjects; (e) the existence of appropriate safeguards, which may include encryption or pseudonymisation.",data_protection;security_measures,Article 23(1),GDPR_EN_TXT (7).txt,compliant,"This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.","This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.",0.7283803224563599
REQ-0019,"Where processing is based on consent, the controller shall be able to demonstrate that the data subject has consented to processing of his or her personal data.",data_protection,Article 7,GDPR_EN_TXT (7).txt,compliant,"This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.","This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.",0.6638221740722656
REQ-0020,"When assessing whether consent is freely given, utmost account shall be taken of whether, inter alia, the performance of a contract, including the provision of a service, is conditional on consent to the processing of personal data that is not necessary for the performance of that contract.",data_protection,Article 7,GDPR_EN_TXT (7).txt,partially_compliant,"This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.","This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.",0.5289384126663208
REQ-0021,"Where point (a) of Article 6(1) applies, in relation to the offer of information society services directly to a child, the processing of the personal data of a child shall be lawful where the child is at least 16 years old.",data_protection,Article 6(1),GDPR_EN_TXT (7).txt,partially_compliant,"If we learn that we​ ​have collected the personal information of a minor under 13 years old, we will comply with applicable​ ​legal requirements to delete the information.​ ​Cookies and Other Technologies​ ​Rubrik and our partners (e.g., marketing partners, analytics, advertising, or service providers) use various​ ​tracking technologies such as cookies, web beacons, pixels, tags and scripts alone or in conjunction with​ ​cookies to analyze trends on our Online Services, administer our Online Services, and to gather​ ​firmographic and demographic information about our user base as a whole.","If we learn that we​ ​have collected the personal information of a minor under 13 years old, we will comply with applicable​ ​legal requirements to delete the information.​ ​Cookies and Other Technologies​ ​Rubrik and our partners (e.g., marketing partners, analytics, advertising, or service providers) use various​ ​tracking technologies such as cookies, web beacons, pixels, tags and scripts alone or in conjunction with​ ​cookies to analyze trends on our Online Services, administer our Online Services, and to gather​ ​firmographic and demographic information about our user base as a whole.",0.5856378078460693
REQ-0022,"Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person's sex life or sexual orientation shall be prohibited.",data_protection,Article 9,GDPR_EN_TXT (7).txt,compliant,"Under the GDPR, personal data is​ ​information about an individual, from which that individual is either directly identified or can be​ ​identified.","Under the GDPR, personal data is​ ​information about an individual, from which that individual is either directly identified or can be​ ​identified.",0.6248598098754883
REQ-0023,"Paragraph 1 shall not apply if one of the following applies: (a) the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject; (b) processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject; (c) processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent; (d) processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects; (e) processing relates to personal data which are manifestly made public by the data subject; (f) processing is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity; (g) processing is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject; (h) processing is necessary for the purposes of preventive or occupational medicine, for the assessment of the working capacity of the employee, medical diagnosis, the provision of health or social care or treatment or the management of health or social care systems and services on the basis of Union or Member State law or pursuant to contract with a health professional and subject to the conditions and safeguards referred to in paragraph 3; (i) processing is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy; 4.5.2016 EN Official Journal of the European Union L 119/39 (j) processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be propor­ tionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject.",data_protection,Article 89(1),GDPR_EN_TXT (7).txt,compliant,"This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.","This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.",0.6784489750862122
REQ-0024,Article 10 Processing of personal data relating to criminal convictions and offences Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects.,data_protection;security_measures,Article 10,GDPR_EN_TXT (7).txt,compliant,"This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.","This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.",0.6807655692100525
REQ-0025,"If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation.",data_protection,Article 11,GDPR_EN_TXT (7).txt,partially_compliant,"For example, if you register for an account on the Online Services, we retain​ ​your personal data for as long as you have an account with us and then for only as long as required for us​ ​to comply with applicable laws, discharge our contractual obligations to you, or defend our legal​ ​interests in connection with any claim or defense we could face before any formal dispute resolution​ ​body.","For example, if you register for an account on the Online Services, we retain​ ​your personal data for as long as you have an account with us and then for only as long as required for us​ ​to comply with applicable laws, discharge our contractual obligations to you, or defend our legal​ ​interests in connection with any claim or defense we could face before any formal dispute resolution​ ​body.",0.5766909122467041
REQ-0026,The controller shall facilitate the exercise of data subject rights under Articles 15 to 22.,data_subject_rights,Article 12,GDPR_EN_TXT (7).txt,partially_compliant,"This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.","This processing is​ ​conducted in a manner that is proportionate, respects​ ​individuals’ rights and freedoms, and is subject to​ ​appropriate safeguards, especially where personal data is​ ​involved.",0.5110183358192444
REQ-0027,"Where personal data relating to a data subject are collected from the data subject, the controller shall, at the time when personal data are obtained, provide the data subject with all of the following information: (a) the identity and the contact details of the controller and, where applicable, of the controller's representative; (b) the contact details of the data protection officer, where applicable; (c) the purposes of the processing for which the personal data are intended as well as the legal basis for the processing; 4.5.2016 EN Official Journal of the European Union L 119/41 (d) where the processing is based on point (f) of Article 6(1), the legitimate interests pursued by the controller or by a third party; (e) the recipients or categories of recipients of the personal data, if any; (f) where applicable, the fact that the controller intends to transfer personal data to a third country or international organisation and the existence or absence of an adequacy decision by the Commission, or in the case of transfers referred to in Article 46 or 47, or the second subparagraph of Article 49(1), reference to the appropriate or suitable safeguards and the means by which to obtain a copy of them or where they have been made available.",data_protection;third_parties,Article 6(1),GDPR_EN_TXT (7).txt,compliant,"All transfers of your personal data from Europe to a country that has not been deemed to​ ​provide an adequate level of protection will be based upon an adequacy decision or governed by​ ​appropriate safeguards in accordance with the GDPR (e.g., the European Commission’s Standard​ ​Contractual Clauses or the UK’s International Data Transfer Agreement).","All transfers of your personal data from Europe to a country that has not been deemed to​ ​provide an adequate level of protection will be based upon an adequacy decision or governed by​ ​appropriate safeguards in accordance with the GDPR (e.g., the European Commission’s Standard​ ​Contractual Clauses or the UK’s International Data Transfer Agreement).",0.6576673984527588
REQ-0028,"In addition to the information referred to in paragraph 1, the controller shall, at the time when personal data are obtained, provide the data subject with the following further information necessary to ensure fair and transparent processing: (a) the period for which the personal data will be stored, or if that is not possible, the criteria used to determine that period; (b) the existence of the right to request from the controller access to and rectification or erasure of personal data or restriction of processing concerning the data subject or to object to processing as well as the right to data portability; (c) where the processing is based on point (a) of Article 6(1) or point (a) of Article 9(2), the existence of the right to withdraw consent at any time, without affecting the lawfulness of processing based on consent before its withdrawal; (d) the right to lodge a complaint with a supervisory authority; (e) whether the provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract, as well as whether the data subject is obliged to provide the personal data and of the possible consequences of failure to provide such data; (f) the existence of automated decision-making, including profiling, referred to in Article 22(1) and (4) and, at least in those cases, meaningful information about the logic involved, as well as the significance and the envisaged consequences of such processing for the data subject.",data_protection,Article 6(1),GDPR_EN_TXT (7).txt,compliant,"​ ​●​ ​Transfer​​. Transfer a machine-readable copy of your​​personal data to you or a third party of your​ ​choice.​ ​●​ ​Restrict​​. Restrict the processing of your personal​​data, for example if you want us to establish its​ ​accuracy or the reason for processing it.​ ​●​ ​Object​​. Object to our processing of your personal​​data where we are relying on Legitimate​ ​Interests – you also have the right to object where we are processing your personal data for​ ​direct marketing purposes.​ ​●​ ​Withdraw Consent​​. When we use your personal data based​​on your consent, you have the right​ ​to withdraw that consent at any time.","​ ​●​ ​Transfer​​. Transfer a machine-readable copy of your​​personal data to you or a third party of your​ ​choice.​ ​●​ ​Restrict​​. Restrict the processing of your personal​​data, for example if you want us to establish its​ ​accuracy or the reason for processing it.​ ​●​ ​Object​​. Object to our processing of your personal​​data where we are relying on Legitimate​ ​Interests – you also have the right to object where we are processing your personal data for​ ​direct marketing purposes.​ ​●​ ​Withdraw Consent​​. When we use your personal data based​​on your consent, you have the right​ ​to withdraw that consent at any time.",0.6594593524932861
REQ-0029,"3. Where the controller intends to further process the personal data for a purpose other than that for which the personal data were collected, the controller shall provide the data subject prior to that further processing with information on that other purpose and with any relevant further information as referred to in paragraph 2. 4.",data_protection,Article 6(1),GDPR_EN_TXT (7).txt,compliant,More detail about the specific legitimate​ ​interests pursued in respect of each Purpose we use your personal information for is set out in​ ​the table below.​ ​●​ ​Where we need to comply with a legal or regulatory obligation (“Compliance with Law”).​ ​●​ ​Where we have your specific consent to carry out the processing for the Purpose in question​ ​(“Consent”).,More detail about the specific legitimate​ ​interests pursued in respect of each Purpose we use your personal information for is set out in​ ​the table below.​ ​●​ ​Where we need to comply with a legal or regulatory obligation (“Compliance with Law”).​ ​●​ ​Where we have your specific consent to carry out the processing for the Purpose in question​ ​(“Consent”).,0.6134809255599976
